GalaxyID,disc,spiral,elliptical,round,other
100008.0,1.0,0.0,0.0,0.0,0.0
100023.0,0.0,0.0,0.0,0.0,1.0
100053.0,0.0,0.0,0.0,0.0,1.0
100078.0,0.0,0.0,0.0,1.0,0.0
100090.0,0.0,0.0,0.0,1.0,0.0
100122.0,0.0,0.0,0.0,0.0,1.0
100123.0,0.0,0.0,0.0,1.0,0.0
100128.0,0.0,0.0,0.0,1.0,0.0
100134.0,1.0,0.0,0.0,0.0,0.0
100143.0,0.0,0.0,0.0,0.0,1.0
100150.0,0.0,0.0,0.0,0.0,1.0
100157.0,1.0,0.0,0.0,0.0,0.0
100187.0,1.0,0.0,0.0,0.0,0.0
100204.0,0.0,0.0,0.0,0.0,1.0
100237.0,0.0,0.0,0.0,0.0,1.0
100259.0,1.0,0.0,0.0,0.0,0.0
100263.0,0.0,0.0,0.0,0.0,1.0
100288.0,0.0,0.0,0.0,0.0,1.0
100295.0,0.0,0.0,0.0,0.0,1.0
100322.0,0.0,0.0,0.0,0.0,1.0
100335.0,0.0,0.0,0.0,0.0,1.0
100367.0,0.0,0.0,0.0,0.0,1.0
100380.0,0.0,0.0,0.0,0.0,1.0
100382.0,0.0,0.0,0.0,0.0,1.0
100383.0,1.0,0.0,0.0,0.0,0.0
100402.0,0.0,0.0,0.0,0.0,1.0
100428.0,0.0,0.0,0.0,1.0,0.0
100434.0,0.0,0.0,0.0,1.0,0.0
100444.0,0.0,0.0,0.0,0.0,1.0
100445.0,0.0,0.0,0.0,0.0,1.0
100458.0,0.0,0.0,0.0,0.0,1.0
100474.0,0.0,0.0,0.0,0.0,1.0
100479.0,0.0,0.0,0.0,0.0,1.0
100506.0,0.0,0.0,0.0,0.0,1.0
100513.0,0.0,0.0,0.0,0.0,1.0
100520.0,0.0,0.0,0.0,0.0,1.0
100541.0,0.0,0.0,0.0,0.0,1.0
100561.0,0.0,0.0,0.0,0.0,1.0
100571.0,0.0,0.0,0.0,1.0,0.0
100601.0,0.0,0.0,0.0,0.0,1.0
100623.0,0.0,0.0,0.0,0.0,1.0
100672.0,0.0,0.0,0.0,1.0,0.0
100673.0,0.0,0.0,0.0,0.0,1.0
100724.0,0.0,0.0,0.0,0.0,1.0
100727.0,0.0,0.0,0.0,1.0,0.0
100730.0,0.0,0.0,0.0,0.0,1.0
100740.0,0.0,0.0,0.0,0.0,1.0
100744.0,0.0,0.0,0.0,1.0,0.0
100765.0,0.0,0.0,0.0,0.0,1.0
100774.0,0.0,0.0,0.0,0.0,1.0
100801.0,0.0,0.0,0.0,0.0,1.0
100813.0,1.0,0.0,0.0,0.0,0.0
100821.0,0.0,0.0,0.0,0.0,1.0
100822.0,0.0,0.0,0.0,0.0,1.0
100836.0,0.0,0.0,0.0,0.0,1.0
100852.0,0.0,0.0,0.0,1.0,0.0
100859.0,1.0,0.0,0.0,0.0,0.0
100861.0,0.0,0.0,0.0,1.0,0.0
100867.0,0.0,0.0,0.0,1.0,0.0
